2021/01/25 10.27.57:	Se abrio Aplicacion.
2021/01/25 10.28.47:	Se abrio Aplicacion.
2021/01/25 10.28.49:	Se cerro la aplicacion. 
2021/01/25 10.29.10:	Se abrio Aplicacion.
2021/01/25 10.29.54:	Error en conexion con la camara MODBUS. A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 192.168.1.85:502
2021/01/25 10.30.20:	Error en conexion con la camara MODBUS. A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 192.168.1.85:502
2021/01/25 10.30.43:	Error en la conexion Ethernet para datos con la camara A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 192.168.1.85:32100
2021/01/25 10.31.16:	Se abrio Aplicacion.
2021/01/25 10.31.40:	Se abrio Aplicacion.
2021/01/25 10.32.07:	Se abrio Aplicacion.
2021/01/25 10.32.13:	Se cerro la aplicacion. 
2021/01/25 10.32.20:	Se abrio Aplicacion.
2021/01/25 10.32.24:	Se cerro la aplicacion. 
