2021/02/19 03.22.01:	Se abrio Aplicacion.
2021/02/19 03.22.40:	Error en la conexion Ethernet para datos con la camara(Pantalla Mantenimiento.) A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 192.168.1.85:32100
2021/02/19 03.23.01:	Error en la conexion Ethernet para imagen con la camara(Pantalla Mantenimiento). A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 192.168.1.85:32200
2021/02/19 03.23.22:	Error en conexion con la camara MODBUS(Pantalla Mantenimiento). A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 192.168.1.85:502
2021/02/19 03.23.43:	Error en la conexion Ethernet para datos con la camara(Pantalla Mantenimiento.) A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 192.168.1.85:32100
2021/02/19 03.24.04:	Error en la conexion Ethernet para imagen con la camara(Pantalla Mantenimiento). A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 192.168.1.85:32200
2021/02/19 03.24.23:	Se abrio Aplicacion.
2021/02/19 03.24.59:	Error en la conexion Ethernet para datos con la camara(Pantalla Mantenimiento.) A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 192.168.1.85:32100
2021/02/19 03.26.13:	Se abrio Aplicacion.
2021/02/19 03.28.15:	Error en la conexion Ethernet para datos con la camara(Pantalla Mantenimiento.) A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 192.168.1.85:32100
2021/02/19 03.28.36:	Error en la conexion Ethernet para imagen con la camara(Pantalla Mantenimiento). A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 192.168.1.85:32200
2021/02/19 03.28.57:	Error en conexion con la camara MODBUS(Pantalla Mantenimiento). A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 192.168.1.85:502
2021/02/19 03.29.59:	Se abrio Aplicacion.
2021/02/19 03.30.54:	Error en la conexion Ethernet para datos con la camara(Pantalla Mantenimiento.) A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 192.168.1.85:32100
2021/02/19 03.31.29:	Error en la conexion Ethernet para imagen con la camara(Pantalla Mantenimiento). A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 192.168.1.85:32200
2021/02/19 03.32.25:	Error en conexion con la camara MODBUS(Pantalla Mantenimiento). A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 192.168.1.85:502
2021/02/19 03.33.34:	Se abrio Aplicacion.
2021/02/19 03.34.11:	Error en la conexion Ethernet para datos con la camara(Pantalla Mantenimiento.) A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 192.168.1.85:32100
2021/02/19 03.34.32:	Error en la conexion Ethernet para imagen con la camara(Pantalla Mantenimiento). A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 192.168.1.85:32200
2021/02/19 03.34.53:	Error en conexion con la camara MODBUS(Pantalla Mantenimiento). A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 192.168.1.85:502
2021/02/19 03.35.15:	Error en la conexion Ethernet para datos con la camara(Pantalla Mantenimiento.) A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 192.168.1.85:32100
2021/02/19 03.35.36:	Error en la conexion Ethernet para imagen con la camara(Pantalla Mantenimiento). A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 192.168.1.85:32200
2021/02/19 03.35.57:	Error en conexion con la camara MODBUS(Pantalla Mantenimiento). A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 192.168.1.85:502
2021/02/19 03.36.18:	Error en la conexion Ethernet para datos con la camara(Pantalla Mantenimiento.) A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 192.168.1.85:32100
